date,maxTemp,minTemp,mornRH,eveRH,relHum,rainFall
2022-07-28 00:00:00,34.0,27.2,67,69,68.0,0.0
2022-07-29 00:00:00,33.5,27.6,69,69,69.0,0.0
2022-07-30 00:00:00,32.8,27.6,70,78,74.0,7.0
2022-07-31 00:00:00,32.5,27.4,92,82,87.0,0.0
2022-08-01 00:00:00,33.0,26.8,75,68,71.5,0.0
2022-08-02 00:00:00,33.5,27.6,77,73,75.0,0.0
2022-08-03 00:00:00,34.0,27.0,72,68,70.0,0.0
2022-08-04 00:00:00,33.2,28.2,77,73,75.0,0.0
2022-08-05 00:00:00,33.0,27.2,75,75,75.0,0.0
2022-08-06 00:00:00,33.0,26.8,73,47,60.0,27.0
2022-08-07 00:00:00,29.8,24.4,77,83,80.0,4.0
2022-08-08 00:00:00,26.6,26.0,85,92,88.5,19
2022-08-09,30.0,25.7,82,77,79.5,
